line,poem,text,tokens
19.0,108.0,away and,"['START_SYMBOL', u'away', u'and', 'STOP_SYMBOL']"
20.0,108.0,one of the skyscrapers in,"['START_SYMBOL', u'one', u'of', u'the', u'skyscrapers', u'in', 'STOP_SYMBOL']"
21.0,108.0,downtown L.A. begins,"['START_SYMBOL', u'downtown', u'l.a.', u'begins', 'STOP_SYMBOL']"
22.0,108.0,burning,"['START_SYMBOL', u'burning', 'STOP_SYMBOL']"
23.0,108.0,25 foot flames licking toward,"['START_SYMBOL', u'25', u'foot', u'flames', u'licking', u'toward', 'STOP_SYMBOL']"
24.0,108.0,doom.,"['START_SYMBOL', u'doom', u'.', 'STOP_SYMBOL']"
1.0,109.0,this guy,"['START_SYMBOL', u'this', u'guy', 'STOP_SYMBOL']"
2.0,109.0,he's got a crazy eye,"['START_SYMBOL', u'he', u""'s"", u'got', u'a', u'crazy', u'eye', 'STOP_SYMBOL']"
3.0,109.0,and he's brown,"['START_SYMBOL', u'and', u'he', u""'s"", u'brown', 'STOP_SYMBOL']"
4.0,109.0,a dark brown from the sun,"['START_SYMBOL', u'a', u'dark', u'brown', u'from', u'the', u'sun', 'STOP_SYMBOL']"
5.0,109.0,the Hollywood and Western sun,"['START_SYMBOL', u'the', u'hollywood', u'and', u'western', u'sun', 'STOP_SYMBOL']"
6.0,109.0,the racetrack sun,"['START_SYMBOL', u'the', u'racetrack', u'sun', 'STOP_SYMBOL']"
7.0,109.0,"he sees me and he says,","['START_SYMBOL', u'he', u'sees', u'me', u'and', u'he', u'says', u',', 'STOP_SYMBOL']"
8.0,109.0,"""hey, Hawley's leaving town","['START_SYMBOL', u'``', u'hey', u',', u'hawley', u""'s"", u'leaving', u'town', 'STOP_SYMBOL']"
9.0,109.0,for a week. he messes up,"['START_SYMBOL', u'for', u'a', u'week', u'.', u'he', u'messes', u'up', 'STOP_SYMBOL']"
10.0,109.0,my handicapping. now,"['START_SYMBOL', u'my', u'handicapping', u'.', u'now', 'STOP_SYMBOL']"
11.0,109.0,"I've got a chance.""","['START_SYMBOL', u'i', u""'ve"", u'got', u'a', u'chance', u'.', u""''"", 'STOP_SYMBOL']"
12.0,109.0,"he's grinning, he means it:","['START_SYMBOL', u'he', u""'s"", u'grinning', u',', u'he', u'means', u'it', u':', 'STOP_SYMBOL']"
13.0,109.0,with Hawley out of town,"['START_SYMBOL', u'with', u'hawley', u'out', u'of', u'town', 'STOP_SYMBOL']"
14.0,109.0,he's going to move toward,"['START_SYMBOL', u'he', u""'s"", u'going', u'to', u'move', u'toward', 'STOP_SYMBOL']"
15.0,109.0,that castle in the Hollywood Hills;,"['START_SYMBOL', u'that', u'castle', u'in', u'the', u'hollywood', u'hills', u';', 'STOP_SYMBOL']"
16.0,109.0,dancing girls,"['START_SYMBOL', u'dancing', u'girls', 'STOP_SYMBOL']"
17.0,109.0,six German Shepherds,"['START_SYMBOL', u'six', u'german', u'shepherds', 'STOP_SYMBOL']"
18.0,109.0,"a drawbridge,","['START_SYMBOL', u'a', u'drawbridge', u',', 'STOP_SYMBOL']"
19.0,109.0,ten year old,"['START_SYMBOL', u'ten', u'year', u'old', 'STOP_SYMBOL']"
20.0,109.0,wine.,"['START_SYMBOL', u'wine', u'.', 'STOP_SYMBOL']"
21.0,109.0,Sam the Whorehouse Man,"['START_SYMBOL', u'sam', u'the', u'whorehouse', u'man', 'STOP_SYMBOL']"
22.0,109.0,walks up and I tell Sam that,"['START_SYMBOL', u'walks', u'up', u'and', u'i', u'tell', u'sam', u'that', 'STOP_SYMBOL']"
23.0,109.0,I am clearing $150 a day,"['START_SYMBOL', u'i', u'am', u'clearing', u'$', u'150', u'a', u'day', 'STOP_SYMBOL']"
24.0,109.0,at the track.,"['START_SYMBOL', u'at', u'the', u'track', u'.', 'STOP_SYMBOL']"
25.0,109.0,"""I work right off the","['START_SYMBOL', u'``', u'i', u'work', u'right', u'off', u'the', 'STOP_SYMBOL']"
26.0,109.0,"toteboard,"" I tell him.","['START_SYMBOL', u'toteboard', u',', u""''"", u'i', u'tell', u'him', u'.', 'STOP_SYMBOL']"
27.0,109.0,"""I need a girl,"" he tells me,","['START_SYMBOL', u'``', u'i', u'need', u'a', u'girl', u',', u""''"", u'he', u'tells', u'me', u',', 'STOP_SYMBOL']"
28.0,109.0,"""who can belt-buckle a guy","['START_SYMBOL', u'``', u'who', u'can', u'belt-buckle', u'a', u'guy', 'STOP_SYMBOL']"
29.0,109.0,without coming out with all,"['START_SYMBOL', u'without', u'coming', u'out', u'with', u'all', 'STOP_SYMBOL']"
30.0,109.0,this Christian moral bullshit,"['START_SYMBOL', u'this', u'christian', u'moral', u'bullshit', 'STOP_SYMBOL']"
31.0,109.0,"afterwards.""","['START_SYMBOL', u'afterwards', u'.', u""''"", 'STOP_SYMBOL']"
32.0,109.0,"""Hawley's leaving town,""","['START_SYMBOL', u'``', u'hawley', u""'s"", u'leaving', u'town', u',', u""''"", 'STOP_SYMBOL']"
33.0,109.0,I tell Sam.,"['START_SYMBOL', u'i', u'tell', u'sam', u'.', 'STOP_SYMBOL']"
34.0,109.0,"""where's the Shoe?""","['START_SYMBOL', u'``', u'where', u""'s"", u'the', u'shoe', u'?', u""''"", 'STOP_SYMBOL']"
35.0,109.0,he asks.,"['START_SYMBOL', u'he', u'asks', u'.', 'STOP_SYMBOL']"
36.0,109.0,"""back east,"" says an old man","['START_SYMBOL', u'``', u'back', u'east', u',', u""''"", u'says', u'an', u'old', u'man', 'STOP_SYMBOL']"
37.0,109.0,who's standing there.,"['START_SYMBOL', u'who', u""'s"", u'standing', u'there', u'.', 'STOP_SYMBOL']"
38.0,109.0,he has a white plastic shield,"['START_SYMBOL', u'he', u'has', u'a', u'white', u'plastic', u'shield', 'STOP_SYMBOL']"
39.0,109.0,over his left eye,"['START_SYMBOL', u'over', u'his', u'left', u'eye', 'STOP_SYMBOL']"
40.0,109.0,with little holes,"['START_SYMBOL', u'with', u'little', u'holes', 'STOP_SYMBOL']"
41.0,109.0,punched into it.,"['START_SYMBOL', u'punched', u'into', u'it', u'.', 'STOP_SYMBOL']"
42.0,109.0,"""that leaves it all to Pinky,""","['START_SYMBOL', u'``', u'that', u'leaves', u'it', u'all', u'to', u'pinky', u',', u""''"", 'STOP_SYMBOL']"
43.0,109.0,says dark brown.,"['START_SYMBOL', u'says', u'dark', u'brown', u'.', 'STOP_SYMBOL']"
44.0,109.0,we all stand looking at each,"['START_SYMBOL', u'we', u'all', u'stand', u'looking', u'at', u'each', 'STOP_SYMBOL']"
45.0,109.0,other.,"['START_SYMBOL', u'other', u'.', 'STOP_SYMBOL']"
46.0,109.0,then,"['START_SYMBOL', u'then', 'STOP_SYMBOL']"
47.0,109.0,a silent signal given,"['START_SYMBOL', u'a', u'silent', u'signal', u'given', 'STOP_SYMBOL']"
48.0,109.0,we turn away,"['START_SYMBOL', u'we', u'turn', u'away', 'STOP_SYMBOL']"
49.0,109.0,"and start walking,","['START_SYMBOL', u'and', u'start', u'walking', u',', 'STOP_SYMBOL']"
50.0,109.0,each,"['START_SYMBOL', u'each', 'STOP_SYMBOL']"
51.0,109.0,in a different direction:,"['START_SYMBOL', u'in', u'a', u'different', u'direction', u':', 'STOP_SYMBOL']"
52.0,109.0,north south east west.,"['START_SYMBOL', u'north', u'south', u'east', u'west', u'.', 'STOP_SYMBOL']"
53.0,109.0,we know something.,"['START_SYMBOL', u'we', u'know', u'something', u'.', 'STOP_SYMBOL']"
1.0,110.0,they go on writing,"['START_SYMBOL', u'they', u'go', u'on', u'writing', 'STOP_SYMBOL']"
2.0,110.0,pumping out poems---,"['START_SYMBOL', u'pumping', u'out', u'poems', u'--', u'-', 'STOP_SYMBOL']"
3.0,110.0,young boys and college professors,"['START_SYMBOL', u'young', u'boys', u'and', u'college', u'professors', 'STOP_SYMBOL']"
4.0,110.0,wives who drink wine all afternoon,"['START_SYMBOL', u'wives', u'who', u'drink', u'wine', u'all', u'afternoon', 'STOP_SYMBOL']"
5.0,110.0,"while their husbands work,","['START_SYMBOL', u'while', u'their', u'husbands', u'work', u',', 'STOP_SYMBOL']"
6.0,110.0,they go on writing,"['START_SYMBOL', u'they', u'go', u'on', u'writing', 'STOP_SYMBOL']"
7.0,110.0,the same names in the same magazines,"['START_SYMBOL', u'the', u'same', u'names', u'in', u'the', u'same', u'magazines', 'STOP_SYMBOL']"
8.0,110.0,"everybody writing a little worse each year,","['START_SYMBOL', u'everybody', u'writing', u'a', u'little', u'worse', u'each', u'year', u',', 'STOP_SYMBOL']"
9.0,110.0,getting out a poetry collection,"['START_SYMBOL', u'getting', u'out', u'a', u'poetry', u'collection', 'STOP_SYMBOL']"
10.0,110.0,and pumping out more poems,"['START_SYMBOL', u'and', u'pumping', u'out', u'more', u'poems', 'STOP_SYMBOL']"
11.0,110.0,it's like a contest,"['START_SYMBOL', u'it', u""'s"", u'like', u'a', u'contest', 'STOP_SYMBOL']"
12.0,110.0,it is a contest,"['START_SYMBOL', u'it', u'is', u'a', u'contest', 'STOP_SYMBOL']"
13.0,110.0,but the prize is invisible.,"['START_SYMBOL', u'but', u'the', u'prize', u'is', u'invisible', u'.', 'STOP_SYMBOL']"
14.0,110.0,they won't write short stories or articles,"['START_SYMBOL', u'they', u'wo', u""n't"", u'write', u'short', u'stories', u'or', u'articles', 'STOP_SYMBOL']"
15.0,110.0,or novels,"['START_SYMBOL', u'or', u'novels', 'STOP_SYMBOL']"
16.0,110.0,they just go on,"['START_SYMBOL', u'they', u'just', u'go', u'on', 'STOP_SYMBOL']"
17.0,110.0,pumping out poems,"['START_SYMBOL', u'pumping', u'out', u'poems', 'STOP_SYMBOL']"
18.0,110.0,each sounding more and more like the others,"['START_SYMBOL', u'each', u'sounding', u'more', u'and', u'more', u'like', u'the', u'others', 'STOP_SYMBOL']"
19.0,110.0,"and less and less like themselves,","['START_SYMBOL', u'and', u'less', u'and', u'less', u'like', u'themselves', u',', 'STOP_SYMBOL']"
20.0,110.0,and some of the young boys weary and quit,"['START_SYMBOL', u'and', u'some', u'of', u'the', u'young', u'boys', u'weary', u'and', u'quit', 'STOP_SYMBOL']"
21.0,110.0,but the professors never quit,"['START_SYMBOL', u'but', u'the', u'professors', u'never', u'quit', 'STOP_SYMBOL']"
22.0,110.0,and the wives who drink wine in the afternoons,"['START_SYMBOL', u'and', u'the', u'wives', u'who', u'drink', u'wine', u'in', u'the', u'afternoons', 'STOP_SYMBOL']"
23.0,110.0,never ever ever quit,"['START_SYMBOL', u'never', u'ever', u'ever', u'quit', 'STOP_SYMBOL']"
24.0,110.0,and new young boys arrive with new magazines,"['START_SYMBOL', u'and', u'new', u'young', u'boys', u'arrive', u'with', u'new', u'magazines', 'STOP_SYMBOL']"
25.0,110.0,and there is some correspondence with lady or men poets,"['START_SYMBOL', u'and', u'there', u'is', u'some', u'correspondence', u'with', u'lady', u'or', u'men', u'poets', 'STOP_SYMBOL']"
26.0,110.0,and some fucking,"['START_SYMBOL', u'and', u'some', u'fucking', 'STOP_SYMBOL']"
27.0,110.0,and everything is exaggerated and dull.,"['START_SYMBOL', u'and', u'everything', u'is', u'exaggerated', u'and', u'dull', u'.', 'STOP_SYMBOL']"
28.0,110.0,when the poems come back,"['START_SYMBOL', u'when', u'the', u'poems', u'come', u'back', 'STOP_SYMBOL']"
29.0,110.0,they retype them,"['START_SYMBOL', u'they', u'retype', u'them', 'STOP_SYMBOL']"
30.0,110.0,"and send them off to the next magazine on the list,","['START_SYMBOL', u'and', u'send', u'them', u'off', u'to', u'the', u'next', u'magazine', u'on', u'the', u'list', u',', 'STOP_SYMBOL']"
31.0,110.0,and they give /readings/,"['START_SYMBOL', u'and', u'they', u'give', u'/readings/', 'STOP_SYMBOL']"
32.0,110.0,all the readings they can,"['START_SYMBOL', u'all', u'the', u'readings', u'they', u'can', 'STOP_SYMBOL']"
33.0,110.0,for free most of the time,"['START_SYMBOL', u'for', u'free', u'most', u'of', u'the', u'time', 'STOP_SYMBOL']"
34.0,110.0,hoping that somebody will finally know,"['START_SYMBOL', u'hoping', u'that', u'somebody', u'will', u'finally', u'know', 'STOP_SYMBOL']"
35.0,110.0,finally applaud them,"['START_SYMBOL', u'finally', u'applaud', u'them', 'STOP_SYMBOL']"
36.0,110.0,finally congratulate and recognize their,"['START_SYMBOL', u'finally', u'congratulate', u'and', u'recognize', u'their', 'STOP_SYMBOL']"
37.0,110.0,talent,"['START_SYMBOL', u'talent', 'STOP_SYMBOL']"
38.0,110.0,they are all so sure of their genius,"['START_SYMBOL', u'they', u'are', u'all', u'so', u'sure', u'of', u'their', u'genius', 'STOP_SYMBOL']"
39.0,110.0,"there is so little self-doubt,","['START_SYMBOL', u'there', u'is', u'so', u'little', u'self-doubt', u',', 'STOP_SYMBOL']"
40.0,110.0,"and most of them live in North Beach or New York City,","['START_SYMBOL', u'and', u'most', u'of', u'them', u'live', u'in', u'north', u'beach', u'or', u'new', u'york', u'city', u',', 'STOP_SYMBOL']"
41.0,110.0,and their faces are like their poems:,"['START_SYMBOL', u'and', u'their', u'faces', u'are', u'like', u'their', u'poems', u':', 'STOP_SYMBOL']"
42.0,110.0,"alike,","['START_SYMBOL', u'alike', u',', 'STOP_SYMBOL']"
43.0,110.0,and they know each other and,"['START_SYMBOL', u'and', u'they', u'know', u'each', u'other', u'and', 'STOP_SYMBOL']"
44.0,110.0,gather and hate and admire and choose and discard,"['START_SYMBOL', u'gather', u'and', u'hate', u'and', u'admire', u'and', u'choose', u'and', u'discard', 'STOP_SYMBOL']"
45.0,110.0,and keep pumping out more poems,"['START_SYMBOL', u'and', u'keep', u'pumping', u'out', u'more', u'poems', 'STOP_SYMBOL']"
46.0,110.0,more poems,"['START_SYMBOL', u'more', u'poems', 'STOP_SYMBOL']"
47.0,110.0,more poems,"['START_SYMBOL', u'more', u'poems', 'STOP_SYMBOL']"
48.0,110.0,the contest of the dullards:,"['START_SYMBOL', u'the', u'contest', u'of', u'the', u'dullards', u':', 'STOP_SYMBOL']"
49.0,110.0,"tap tap tap, tap tap, tap tap tap, tap tap ...","['START_SYMBOL', u'tap', u'tap', u'tap', u',', u'tap', u'tap', u',', u'tap', u'tap', u'tap', u',', u'tap', u'tap', u'...', 'STOP_SYMBOL']"
1.0,111.0,I suppose like any other boy,"['START_SYMBOL', u'i', u'suppose', u'like', u'any', u'other', u'boy', 'STOP_SYMBOL']"
2.0,111.0,I had one best friend in the neighborhood.,"['START_SYMBOL', u'i', u'had', u'one', u'best', u'friend', u'in', u'the', u'neighborhood', u'.', 'STOP_SYMBOL']"
3.0,111.0,his name was Eugene and he was bigger,"['START_SYMBOL', u'his', u'name', u'was', u'eugene', u'and', u'he', u'was', u'bigger', 'STOP_SYMBOL']"
4.0,111.0,than I was and one year older.,"['START_SYMBOL', u'than', u'i', u'was', u'and', u'one', u'year', u'older', u'.', 'STOP_SYMBOL']"
5.0,111.0,Eugene used to whip me pretty good.,"['START_SYMBOL', u'eugene', u'used', u'to', u'whip', u'me', u'pretty', u'good', u'.', 'STOP_SYMBOL']"
6.0,111.0,we fought all the time.,"['START_SYMBOL', u'we', u'fought', u'all', u'the', u'time', u'.', 'STOP_SYMBOL']"
7.0,111.0,I kept trying him but without much,"['START_SYMBOL', u'i', u'kept', u'trying', u'him', u'but', u'without', u'much', 'STOP_SYMBOL']"
8.0,111.0,success.,"['START_SYMBOL', u'success', u'.', 'STOP_SYMBOL']"
9.0,111.0,once we leaped off a garage roof together,"['START_SYMBOL', u'once', u'we', u'leaped', u'off', u'a', u'garage', u'roof', u'together', 'STOP_SYMBOL']"
10.0,111.0,to prove our guts.,"['START_SYMBOL', u'to', u'prove', u'our', u'guts', u'.', 'STOP_SYMBOL']"
11.0,111.0,I twisted my ankle and he came up clean,"['START_SYMBOL', u'i', u'twisted', u'my', u'ankle', u'and', u'he', u'came', u'up', u'clean', 'STOP_SYMBOL']"
12.0,111.0,as freshly-wrapped butter.,"['START_SYMBOL', u'as', u'freshly-wrapped', u'butter', u'.', 'STOP_SYMBOL']"
13.0,111.0,I guess the only good thing he ever did for me,"['START_SYMBOL', u'i', u'guess', u'the', u'only', u'good', u'thing', u'he', u'ever', u'did', u'for', u'me', 'STOP_SYMBOL']"
14.0,111.0,was when the bee stung me while I was barefoot,"['START_SYMBOL', u'was', u'when', u'the', u'bee', u'stung', u'me', u'while', u'i', u'was', u'barefoot', 'STOP_SYMBOL']"
15.0,111.0,and while I sat down and pulled the stinger out,"['START_SYMBOL', u'and', u'while', u'i', u'sat', u'down', u'and', u'pulled', u'the', u'stinger', u'out', 'STOP_SYMBOL']"
16.0,111.0,"he said,","['START_SYMBOL', u'he', u'said', u',', 'STOP_SYMBOL']"
17.0,111.0,"""I'll get the son of a bitch!""","['START_SYMBOL', u'``', u'i', u""'ll"", u'get', u'the', u'son', u'of', u'a', u'bitch', u'!', u""''"", 'STOP_SYMBOL']"
18.0,111.0,and he did,"['START_SYMBOL', u'and', u'he', u'did', 'STOP_SYMBOL']"
19.0,111.0,with a tennis racket,"['START_SYMBOL', u'with', u'a', u'tennis', u'racket', 'STOP_SYMBOL']"
20.0,111.0,plus a rubber hammer.,"['START_SYMBOL', u'plus', u'a', u'rubber', u'hammer', u'.', 'STOP_SYMBOL']"
21.0,111.0,it was all right,"['START_SYMBOL', u'it', u'was', u'all', u'right', 'STOP_SYMBOL']"
22.0,111.0,they say they die,"['START_SYMBOL', u'they', u'say', u'they', u'die', 'STOP_SYMBOL']"
23.0,111.0,anyway.,"['START_SYMBOL', u'anyway', u'.', 'STOP_SYMBOL']"
24.0,111.0,my foot swelled up double-size,"['START_SYMBOL', u'my', u'foot', u'swelled', u'up', u'double-size', 'STOP_SYMBOL']"
25.0,111.0,and I stayed in bed,"['START_SYMBOL', u'and', u'i', u'stayed', u'in', u'bed', 'STOP_SYMBOL']"
26.0,111.0,praying for death,"['START_SYMBOL', u'praying', u'for', u'death', 'STOP_SYMBOL']"
27.0,111.0,and Eugene went on to become an,"['START_SYMBOL', u'and', u'eugene', u'went', u'on', u'to', u'become', u'an', 'STOP_SYMBOL']"
28.0,111.0,Admiral or a Commander,"['START_SYMBOL', u'admiral', u'or', u'a', u'commander', 'STOP_SYMBOL']"
29.0,111.0,or something large in the United States Navy,"['START_SYMBOL', u'or', u'something', u'large', u'in', u'the', u'united', u'states', u'navy', 'STOP_SYMBOL']"
30.0,111.0,and he passed through one or two wars,"['START_SYMBOL', u'and', u'he', u'passed', u'through', u'one', u'or', u'two', u'wars', 'STOP_SYMBOL']"
31.0,111.0,without injury.,"['START_SYMBOL', u'without', u'injury', u'.', 'STOP_SYMBOL']"
32.0,111.0,I imagine him an old man now,"['START_SYMBOL', u'i', u'imagine', u'him', u'an', u'old', u'man', u'now', 'STOP_SYMBOL']"
33.0,111.0,in a rocking chair,"['START_SYMBOL', u'in', u'a', u'rocking', u'chair', 'STOP_SYMBOL']"
34.0,111.0,with his false teeth,"['START_SYMBOL', u'with', u'his', u'false', u'teeth', 'STOP_SYMBOL']"
35.0,111.0,and glass of buttermilk ...,"['START_SYMBOL', u'and', u'glass', u'of', u'buttermilk', u'...', 'STOP_SYMBOL']"
36.0,111.0,while drunk,"['START_SYMBOL', u'while', u'drunk', 'STOP_SYMBOL']"
37.0,111.0,I fingerfuck this 19 year old groupie,"['START_SYMBOL', u'i', u'fingerfuck', u'this', u'19', u'year', u'old', u'groupie', 'STOP_SYMBOL']"
38.0,111.0,in bed with me.,"['START_SYMBOL', u'in', u'bed', u'with', u'me', u'.', 'STOP_SYMBOL']"
39.0,111.0,but the worst part is,"['START_SYMBOL', u'but', u'the', u'worst', u'part', u'is', 'STOP_SYMBOL']"
40.0,111.0,(like jumping off the garage roof),"['START_SYMBOL', u'(', u'like', u'jumping', u'off', u'the', u'garage', u'roof', u')', 'STOP_SYMBOL']"
41.0,111.0,Eugene wins again,"['START_SYMBOL', u'eugene', u'wins', u'again', 'STOP_SYMBOL']"
42.0,111.0,because he's not even thinking,"['START_SYMBOL', u'because', u'he', u""'s"", u'not', u'even', u'thinking', 'STOP_SYMBOL']"
43.0,111.0,about me.,"['START_SYMBOL', u'about', u'me', u'.', 'STOP_SYMBOL']"
1.0,112.0,here comes the fishhead singing,"['START_SYMBOL', u'here', u'comes', u'the', u'fishhead', u'singing', 'STOP_SYMBOL']"
2.0,112.0,here comes the baked potato in drag,"['START_SYMBOL', u'here', u'comes', u'the', u'baked', u'potato', u'in', u'drag', 'STOP_SYMBOL']"
3.0,112.0,here comes nothing to do all day long,"['START_SYMBOL', u'here', u'comes', u'nothing', u'to', u'do', u'all', u'day', u'long', 'STOP_SYMBOL']"
4.0,112.0,here comes another night of no sleep,"['START_SYMBOL', u'here', u'comes', u'another', u'night', u'of', u'no', u'sleep', 'STOP_SYMBOL']"
5.0,112.0,here comes the phone ringing the wrong tone,"['START_SYMBOL', u'here', u'comes', u'the', u'phone', u'ringing', u'the', u'wrong', u'tone', 'STOP_SYMBOL']"
6.0,112.0,here comes a termite with a banjo,"['START_SYMBOL', u'here', u'comes', u'a', u'termite', u'with', u'a', u'banjo', 'STOP_SYMBOL']"
7.0,112.0,here comes a flagpole with blank eyes,"['START_SYMBOL', u'here', u'comes', u'a', u'flagpole', u'with', u'blank', u'eyes', 'STOP_SYMBOL']"
8.0,112.0,here comes a cat and a dog wearing nylons,"['START_SYMBOL', u'here', u'comes', u'a', u'cat', u'and', u'a', u'dog', u'wearing', u'nylons', 'STOP_SYMBOL']"
9.0,112.0,here comes a machinegun singing,"['START_SYMBOL', u'here', u'comes', u'a', u'machinegun', u'singing', 'STOP_SYMBOL']"
10.0,112.0,here comes bacon burning in the pan,"['START_SYMBOL', u'here', u'comes', u'bacon', u'burning', u'in', u'the', u'pan', 'STOP_SYMBOL']"
11.0,112.0,here comes a voice saying something dull,"['START_SYMBOL', u'here', u'comes', u'a', u'voice', u'saying', u'something', u'dull', 'STOP_SYMBOL']"
12.0,112.0,here comes a newspaper stuffed with small red birds,"['START_SYMBOL', u'here', u'comes', u'a', u'newspaper', u'stuffed', u'with', u'small', u'red', u'birds', 'STOP_SYMBOL']"
13.0,112.0,with flat brown beaks,"['START_SYMBOL', u'with', u'flat', u'brown', u'beaks', 'STOP_SYMBOL']"
14.0,112.0,here comes a cunt carrying a torch,"['START_SYMBOL', u'here', u'comes', u'a', u'cunt', u'carrying', u'a', u'torch', 'STOP_SYMBOL']"
15.0,112.0,a grenade,"['START_SYMBOL', u'a', u'grenade', 'STOP_SYMBOL']"
16.0,112.0,a deathly love,"['START_SYMBOL', u'a', u'deathly', u'love', 'STOP_SYMBOL']"
17.0,112.0,here comes victory carrying,"['START_SYMBOL', u'here', u'comes', u'victory', u'carrying', 'STOP_SYMBOL']"
18.0,112.0,one bucket of blood,"['START_SYMBOL', u'one', u'bucket', u'of', u'blood', 'STOP_SYMBOL']"
19.0,112.0,and stumbling over the berrybush,"['START_SYMBOL', u'and', u'stumbling', u'over', u'the', u'berrybush', 'STOP_SYMBOL']"
20.0,112.0,and the sheets hang out the windows,"['START_SYMBOL', u'and', u'the', u'sheets', u'hang', u'out', u'the', u'windows', 'STOP_SYMBOL']"
21.0,112.0,and the bombers head east west north south,"['START_SYMBOL', u'and', u'the', u'bombers', u'head', u'east', u'west', u'north', u'south', 'STOP_SYMBOL']"
22.0,112.0,get lost,"['START_SYMBOL', u'get', u'lost', 'STOP_SYMBOL']"
23.0,112.0,get tossed like salad,"['START_SYMBOL', u'get', u'tossed', u'like', u'salad', 'STOP_SYMBOL']"
24.0,112.0,as all the fish in the sea line up and form,"['START_SYMBOL', u'as', u'all', u'the', u'fish', u'in', u'the', u'sea', u'line', u'up', u'and', u'form', 'STOP_SYMBOL']"
25.0,112.0,one line,"['START_SYMBOL', u'one', u'line', 'STOP_SYMBOL']"
26.0,112.0,one long line,"['START_SYMBOL', u'one', u'long', u'line', 'STOP_SYMBOL']"
27.0,112.0,one very long thin line,"['START_SYMBOL', u'one', u'very', u'long', u'thin', u'line', 'STOP_SYMBOL']"
28.0,112.0,the longest line you could ever imagine,"['START_SYMBOL', u'the', u'longest', u'line', u'you', u'could', u'ever', u'imagine', 'STOP_SYMBOL']"
29.0,112.0,and we get lost,"['START_SYMBOL', u'and', u'we', u'get', u'lost', 'STOP_SYMBOL']"
30.0,112.0,walking past purple mountains,"['START_SYMBOL', u'walking', u'past', u'purple', u'mountains', 'STOP_SYMBOL']"
31.0,112.0,we walk lost,"['START_SYMBOL', u'we', u'walk', u'lost', 'STOP_SYMBOL']"
32.0,112.0,bare at last like the knife,"['START_SYMBOL', u'bare', u'at', u'last', u'like', u'the', u'knife', 'STOP_SYMBOL']"
33.0,112.0,having given,"['START_SYMBOL', u'having', u'given', 'STOP_SYMBOL']"
34.0,112.0,having spit it out like an unexpected olive seed,"['START_SYMBOL', u'having', u'spit', u'it', u'out', u'like', u'an', u'unexpected', u'olive', u'seed', 'STOP_SYMBOL']"
35.0,112.0,as the girl at the call service,"['START_SYMBOL', u'as', u'the', u'girl', u'at', u'the', u'call', u'service', 'STOP_SYMBOL']"
36.0,112.0,screams over the phone:,"['START_SYMBOL', u'screams', u'over', u'the', u'phone', u':', 'STOP_SYMBOL']"
37.0,112.0,"""don't call back! you sound like a jerk!""","['START_SYMBOL', u'``', u'do', u""n't"", u'call', u'back', u'!', u'you', u'sound', u'like', u'a', u'jerk', u'!', u""''"", 'STOP_SYMBOL']"
1.0,113.0,drinking German beer,"['START_SYMBOL', u'drinking', u'german', u'beer', 'STOP_SYMBOL']"
2.0,113.0,and trying to come up with,"['START_SYMBOL', u'and', u'trying', u'to', u'come', u'up', u'with', 'STOP_SYMBOL']"
3.0,113.0,the immortal poem at,"['START_SYMBOL', u'the', u'immortal', u'poem', u'at', 'STOP_SYMBOL']"
4.0,113.0,5 p.m. in the afternoon.,"['START_SYMBOL', u'5', u'p.m.', u'in', u'the', u'afternoon', u'.', 'STOP_SYMBOL']"
5.0,113.0,"but, ah, I've told the","['START_SYMBOL', u'but', u',', u'ah', u',', u'i', u""'ve"", u'told', u'the', 'STOP_SYMBOL']"
6.0,113.0,students that the thing,"['START_SYMBOL', u'students', u'that', u'the', u'thing', 'STOP_SYMBOL']"
7.0,113.0,to do is not to try.,"['START_SYMBOL', u'to', u'do', u'is', u'not', u'to', u'try', u'.', 'STOP_SYMBOL']"
8.0,113.0,but when the women aren't,"['START_SYMBOL', u'but', u'when', u'the', u'women', u'are', u""n't"", 'STOP_SYMBOL']"
9.0,113.0,around and the horses aren't,"['START_SYMBOL', u'around', u'and', u'the', u'horses', u'are', u""n't"", 'STOP_SYMBOL']"
10.0,113.0,running,"['START_SYMBOL', u'running', 'STOP_SYMBOL']"
11.0,113.0,what else is there to do?,"['START_SYMBOL', u'what', u'else', u'is', u'there', u'to', u'do', u'?', 'STOP_SYMBOL']"
12.0,113.0,I've had a couple of,"['START_SYMBOL', u'i', u""'ve"", u'had', u'a', u'couple', u'of', 'STOP_SYMBOL']"
13.0,113.0,sexual fantasies,"['START_SYMBOL', u'sexual', u'fantasies', 'STOP_SYMBOL']"
14.0,113.0,had lunch out,"['START_SYMBOL', u'had', u'lunch', u'out', 'STOP_SYMBOL']"
15.0,113.0,mailed three letters,"['START_SYMBOL', u'mailed', u'three', u'letters', 'STOP_SYMBOL']"
16.0,113.0,been to the grocery store.,"['START_SYMBOL', u'been', u'to', u'the', u'grocery', u'store', u'.', 'STOP_SYMBOL']"
17.0,113.0,nothing on tv.,"['START_SYMBOL', u'nothing', u'on', u'tv', u'.', 'STOP_SYMBOL']"
18.0,113.0,the telephone is quiet.,"['START_SYMBOL', u'the', u'telephone', u'is', u'quiet', u'.', 'STOP_SYMBOL']"
