line,poem,text,tokens
4.0,45.0,"2nd novel yet?""","[u'start_symbol', u'2nd', u'novel', u'yet', u'?', u""''"", u'stop_symbol']"
5.0,45.0,"""no.""","[u'start_symbol', u'``', u'no', u'.', u""''"", u'stop_symbol']"
6.0,45.0,"""whatsamatta? whatsamatta","[u'start_symbol', u'``', u'whatsamatta', u'?', u'whatsamatta', u'stop_symbol']"
7.0,45.0,that you can't,"[u'start_symbol', u'that', u'you', u'ca', u""n't"", u'stop_symbol']"
8.0,45.0,"finish it?""","[u'start_symbol', u'finish', u'it', u'?', u""''"", u'stop_symbol']"
9.0,45.0,"""hemorrhoids and","[u'start_symbol', u'``', u'hemorrhoids', u'and', u'stop_symbol']"
10.0,45.0,"insomnia.""","[u'start_symbol', u'insomnia', u'.', u""''"", u'stop_symbol']"
11.0,45.0,"""maybe you've lost","[u'start_symbol', u'``', u'maybe', u'you', u""'ve"", u'lost', u'stop_symbol']"
12.0,45.0,"it?""","[u'start_symbol', u'it', u'?', u""''"", u'stop_symbol']"
13.0,45.0,"""lost what?""","[u'start_symbol', u'``', u'lost', u'what', u'?', u""''"", u'stop_symbol']"
14.0,45.0,"""you know.""","[u'start_symbol', u'``', u'you', u'know', u'.', u""''"", u'stop_symbol']"
15.0,45.0,now when they come,"[u'start_symbol', u'now', u'when', u'they', u'come', u'stop_symbol']"
16.0,45.0,"around I tell them,","[u'start_symbol', u'around', u'i', u'tell', u'them', u',', u'stop_symbol']"
17.0,45.0,"""yeh. I finished","[u'start_symbol', u'``', u'yeh', u'.', u'i', u'finished', u'stop_symbol']"
18.0,45.0,"it. be out in Sept.""","[u'start_symbol', u'it', u'.', u'be', u'out', u'in', u'sept.', u""''"", u'stop_symbol']"
19.0,45.0,"""you /finished/ it?""","[u'start_symbol', u'``', u'you', u'/finished/', u'it', u'?', u""''"", u'stop_symbol']"
20.0,45.0,"""yeh.""","[u'start_symbol', u'``', u'yeh', u'.', u""''"", u'stop_symbol']"
21.0,45.0,"""well, listen, I gotta","[u'start_symbol', u'``', u'well', u',', u'listen', u',', u'i', u'got', u'ta', u'stop_symbol']"
22.0,45.0,"go.""","[u'start_symbol', u'go', u'.', u""''"", u'stop_symbol']"
23.0,45.0,even the cat,"[u'start_symbol', u'even', u'the', u'cat', u'stop_symbol']"
24.0,45.0,here in the courtyard,"[u'start_symbol', u'here', u'in', u'the', u'courtyard', u'stop_symbol']"
25.0,45.0,won't come to my door,"[u'start_symbol', u'wo', u""n't"", u'come', u'to', u'my', u'door', u'stop_symbol']"
26.0,45.0,anymore.,"[u'start_symbol', u'anymore', u'.', u'stop_symbol']"
27.0,45.0,it's nice.,"[u'start_symbol', u'it', u""'s"", u'nice', u'.', u'stop_symbol']"
1.0,46.0,this is my piano.,"[u'start_symbol', u'this', u'is', u'my', u'piano', u'.', u'stop_symbol']"
2.0,46.0,"the phone rings and people ask,","[u'start_symbol', u'the', u'phone', u'rings', u'and', u'people', u'ask', u',', u'stop_symbol']"
3.0,46.0,what are you doing? how about,"[u'start_symbol', u'what', u'are', u'you', u'doing', u'?', u'how', u'about', u'stop_symbol']"
4.0,46.0,getting drunk with us?,"[u'start_symbol', u'getting', u'drunk', u'with', u'us', u'?', u'stop_symbol']"
5.0,46.0,"and I say,","[u'start_symbol', u'and', u'i', u'say', u',', u'stop_symbol']"
6.0,46.0,I'm at my piano.,"[u'start_symbol', u'i', u""'m"", u'at', u'my', u'piano', u'.', u'stop_symbol']"
7.0,46.0,what?,"[u'start_symbol', u'what', u'?', u'stop_symbol']"
8.0,46.0,I'm at my piano.,"[u'start_symbol', u'i', u""'m"", u'at', u'my', u'piano', u'.', u'stop_symbol']"
9.0,46.0,I hang up.,"[u'start_symbol', u'i', u'hang', u'up', u'.', u'stop_symbol']"
10.0,46.0,people need me. I fill,"[u'start_symbol', u'people', u'need', u'me', u'.', u'i', u'fill', u'stop_symbol']"
11.0,46.0,them. if they can't see me,"[u'start_symbol', u'them', u'.', u'if', u'they', u'ca', u""n't"", u'see', u'me', u'stop_symbol']"
12.0,46.0,"for a while they get desperate, they get","[u'start_symbol', u'for', u'a', u'while', u'they', u'get', u'desperate', u',', u'they', u'get', u'stop_symbol']"
13.0,46.0,sick.,"[u'start_symbol', u'sick', u'.', u'stop_symbol']"
14.0,46.0,but if I see them too often,"[u'start_symbol', u'but', u'if', u'i', u'see', u'them', u'too', u'often', u'stop_symbol']"
15.0,46.0,I get sick. it's hard to feed,"[u'start_symbol', u'i', u'get', u'sick', u'.', u'it', u""'s"", u'hard', u'to', u'feed', u'stop_symbol']"
16.0,46.0,without getting fed.,"[u'start_symbol', u'without', u'getting', u'fed', u'.', u'stop_symbol']"
17.0,46.0,my piano says things back to,"[u'start_symbol', u'my', u'piano', u'says', u'things', u'back', u'to', u'stop_symbol']"
18.0,46.0,me.,"[u'start_symbol', u'me', u'.', u'stop_symbol']"
19.0,46.0,sometimes the things are,"[u'start_symbol', u'sometimes', u'the', u'things', u'are', u'stop_symbol']"
20.0,46.0,scrambled and not very good.,"[u'start_symbol', u'scrambled', u'and', u'not', u'very', u'good', u'.', u'stop_symbol']"
21.0,46.0,other times,"[u'start_symbol', u'other', u'times', u'stop_symbol']"
22.0,46.0,I get as good and lucky as,"[u'start_symbol', u'i', u'get', u'as', u'good', u'and', u'lucky', u'as', u'stop_symbol']"
23.0,46.0,Chopin.,"[u'start_symbol', u'chopin', u'.', u'stop_symbol']"
24.0,46.0,sometimes I get out of practice,"[u'start_symbol', u'sometimes', u'i', u'get', u'out', u'of', u'practice', u'stop_symbol']"
25.0,46.0,out of tune. that's,"[u'start_symbol', u'out', u'of', u'tune', u'.', u'that', u""'s"", u'stop_symbol']"
26.0,46.0,all right.,"[u'start_symbol', u'all', u'right', u'.', u'stop_symbol']"
27.0,46.0,I can sit down and vomit on the,"[u'start_symbol', u'i', u'can', u'sit', u'down', u'and', u'vomit', u'on', u'the', u'stop_symbol']"
28.0,46.0,keys,"[u'start_symbol', u'keys', u'stop_symbol']"
29.0,46.0,but it's my,"[u'start_symbol', u'but', u'it', u""'s"", u'my', u'stop_symbol']"
30.0,46.0,vomit.,"[u'start_symbol', u'vomit', u'.', u'stop_symbol']"
31.0,46.0,it's better than sitting in a room,"[u'start_symbol', u'it', u""'s"", u'better', u'than', u'sitting', u'in', u'a', u'room', u'stop_symbol']"
32.0,46.0,with 3 or 4 people and,"[u'start_symbol', u'with', u'3', u'or', u'4', u'people', u'and', u'stop_symbol']"
33.0,46.0,their pianos.,"[u'start_symbol', u'their', u'pianos', u'.', u'stop_symbol']"
34.0,46.0,this is my piano,"[u'start_symbol', u'this', u'is', u'my', u'piano', u'stop_symbol']"
35.0,46.0,and it is better than theirs.,"[u'start_symbol', u'and', u'it', u'is', u'better', u'than', u'theirs', u'.', u'stop_symbol']"
36.0,46.0,and they like it and they do not,"[u'start_symbol', u'and', u'they', u'like', u'it', u'and', u'they', u'do', u'not', u'stop_symbol']"
37.0,46.0,like it.,"[u'start_symbol', u'like', u'it', u'.', u'stop_symbol']"
1.0,47.0,she sits up there,"[u'start_symbol', u'she', u'sits', u'up', u'there', u'stop_symbol']"
2.0,47.0,drinking wine,"[u'start_symbol', u'drinking', u'wine', u'stop_symbol']"
3.0,47.0,while her husband,"[u'start_symbol', u'while', u'her', u'husband', u'stop_symbol']"
4.0,47.0,is at work.,"[u'start_symbol', u'is', u'at', u'work', u'.', u'stop_symbol']"
5.0,47.0,she puts quite,"[u'start_symbol', u'she', u'puts', u'quite', u'stop_symbol']"
6.0,47.0,some importance,"[u'start_symbol', u'some', u'importance', u'stop_symbol']"
7.0,47.0,upon getting her,"[u'start_symbol', u'upon', u'getting', u'her', u'stop_symbol']"
8.0,47.0,poems published,"[u'start_symbol', u'poems', u'published', u'stop_symbol']"
9.0,47.0,in the little,"[u'start_symbol', u'in', u'the', u'little', u'stop_symbol']"
10.0,47.0,magazines.,"[u'start_symbol', u'magazines', u'.', u'stop_symbol']"
11.0,47.0,she's had two or,"[u'start_symbol', u'she', u""'s"", u'had', u'two', u'or', u'stop_symbol']"
12.0,47.0,three of her slim,"[u'start_symbol', u'three', u'of', u'her', u'slim', u'stop_symbol']"
13.0,47.0,volumes of poems,"[u'start_symbol', u'volumes', u'of', u'poems', u'stop_symbol']"
14.0,47.0,done in mimeo.,"[u'start_symbol', u'done', u'in', u'mimeo', u'.', u'stop_symbol']"
15.0,47.0,she has two or,"[u'start_symbol', u'she', u'has', u'two', u'or', u'stop_symbol']"
16.0,47.0,three children,"[u'start_symbol', u'three', u'children', u'stop_symbol']"
17.0,47.0,between the ages,"[u'start_symbol', u'between', u'the', u'ages', u'stop_symbol']"
18.0,47.0,of 6 and 15.,"[u'start_symbol', u'of', u'6', u'and', u'15.', u'stop_symbol']"
19.0,47.0,she is no longer,"[u'start_symbol', u'she', u'is', u'no', u'longer', u'stop_symbol']"
20.0,47.0,the beautiful woman,"[u'start_symbol', u'the', u'beautiful', u'woman', u'stop_symbol']"
21.0,47.0,she was. she sends,"[u'start_symbol', u'she', u'was', u'.', u'she', u'sends', u'stop_symbol']"
22.0,47.0,photos of herself,"[u'start_symbol', u'photos', u'of', u'herself', u'stop_symbol']"
23.0,47.0,sitting upon a rock,"[u'start_symbol', u'sitting', u'upon', u'a', u'rock', u'stop_symbol']"
24.0,47.0,by the ocean,"[u'start_symbol', u'by', u'the', u'ocean', u'stop_symbol']"
25.0,47.0,alone and damned.,"[u'start_symbol', u'alone', u'and', u'damned', u'.', u'stop_symbol']"
26.0,47.0,I could have had,"[u'start_symbol', u'i', u'could', u'have', u'had', u'stop_symbol']"
27.0,47.0,her once. I wonder,"[u'start_symbol', u'her', u'once', u'.', u'i', u'wonder', u'stop_symbol']"
28.0,47.0,if she thinks I,"[u'start_symbol', u'if', u'she', u'thinks', u'i', u'stop_symbol']"
29.0,47.0,could have,"[u'start_symbol', u'could', u'have', u'stop_symbol']"
30.0,47.0,saved her?,"[u'start_symbol', u'saved', u'her', u'?', u'stop_symbol']"
31.0,47.0,in all her poems,"[u'start_symbol', u'in', u'all', u'her', u'poems', u'stop_symbol']"
32.0,47.0,her husband is,"[u'start_symbol', u'her', u'husband', u'is', u'stop_symbol']"
33.0,47.0,never mentioned.,"[u'start_symbol', u'never', u'mentioned', u'.', u'stop_symbol']"
34.0,47.0,but she does,"[u'start_symbol', u'but', u'she', u'does', u'stop_symbol']"
35.0,47.0,talk about her,"[u'start_symbol', u'talk', u'about', u'her', u'stop_symbol']"
36.0,47.0,garden,"[u'start_symbol', u'garden', u'stop_symbol']"
37.0,47.0,so we know that's,"[u'start_symbol', u'so', u'we', u'know', u'that', u""'s"", u'stop_symbol']"
38.0,47.0,"there, anyhow,","[u'start_symbol', u'there', u',', u'anyhow', u',', u'stop_symbol']"
39.0,47.0,and maybe she,"[u'start_symbol', u'and', u'maybe', u'she', u'stop_symbol']"
40.0,47.0,fucks the rosebuds,"[u'start_symbol', u'fucks', u'the', u'rosebuds', u'stop_symbol']"
41.0,47.0,and finches,"[u'start_symbol', u'and', u'finches', u'stop_symbol']"
42.0,47.0,before she writes,"[u'start_symbol', u'before', u'she', u'writes', u'stop_symbol']"
43.0,47.0,her poems,"[u'start_symbol', u'her', u'poems', u'stop_symbol']"
1.0,48.0,the cockroach crouched,"[u'start_symbol', u'the', u'cockroach', u'crouched', u'stop_symbol']"
2.0,48.0,against the tile,"[u'start_symbol', u'against', u'the', u'tile', u'stop_symbol']"
3.0,48.0,while I was pissing and as,"[u'start_symbol', u'while', u'i', u'was', u'pissing', u'and', u'as', u'stop_symbol']"
4.0,48.0,I turned my head,"[u'start_symbol', u'i', u'turned', u'my', u'head', u'stop_symbol']"
5.0,48.0,he hauled his butt,"[u'start_symbol', u'he', u'hauled', u'his', u'butt', u'stop_symbol']"
6.0,48.0,into a crack.,"[u'start_symbol', u'into', u'a', u'crack', u'.', u'stop_symbol']"
7.0,48.0,I got the can and sprayed,"[u'start_symbol', u'i', u'got', u'the', u'can', u'and', u'sprayed', u'stop_symbol']"
8.0,48.0,and sprayed and sprayed,"[u'start_symbol', u'and', u'sprayed', u'and', u'sprayed', u'stop_symbol']"
9.0,48.0,and finally the roach came out,"[u'start_symbol', u'and', u'finally', u'the', u'roach', u'came', u'out', u'stop_symbol']"
10.0,48.0,and gave me a very dirty look.,"[u'start_symbol', u'and', u'gave', u'me', u'a', u'very', u'dirty', u'look', u'.', u'stop_symbol']"
11.0,48.0,then he fell down into,"[u'start_symbol', u'then', u'he', u'fell', u'down', u'into', u'stop_symbol']"
12.0,48.0,the bathtub and I watched,"[u'start_symbol', u'the', u'bathtub', u'and', u'i', u'watched', u'stop_symbol']"
13.0,48.0,him dying,"[u'start_symbol', u'him', u'dying', u'stop_symbol']"
14.0,48.0,with a subtle pleasure,"[u'start_symbol', u'with', u'a', u'subtle', u'pleasure', u'stop_symbol']"
15.0,48.0,because I paid the rent,"[u'start_symbol', u'because', u'i', u'paid', u'the', u'rent', u'stop_symbol']"
16.0,48.0,and he didn't.,"[u'start_symbol', u'and', u'he', u'did', u""n't"", u'.', u'stop_symbol']"
17.0,48.0,I picked him up with,"[u'start_symbol', u'i', u'picked', u'him', u'up', u'with', u'stop_symbol']"
18.0,48.0,some greenblue toilet,"[u'start_symbol', u'some', u'greenblue', u'toilet', u'stop_symbol']"
19.0,48.0,paper and flushed him,"[u'start_symbol', u'paper', u'and', u'flushed', u'him', u'stop_symbol']"
20.0,48.0,away. that's all there,"[u'start_symbol', u'away', u'.', u'that', u""'s"", u'all', u'there', u'stop_symbol']"
21.0,48.0,"was to that, except","[u'start_symbol', u'was', u'to', u'that', u',', u'except', u'stop_symbol']"
22.0,48.0,around Hollywood and,"[u'start_symbol', u'around', u'hollywood', u'and', u'stop_symbol']"
23.0,48.0,Western we have to,"[u'start_symbol', u'western', u'we', u'have', u'to', u'stop_symbol']"
24.0,48.0,keep doing it.,"[u'start_symbol', u'keep', u'doing', u'it', u'.', u'stop_symbol']"
25.0,48.0,they say some day that,"[u'start_symbol', u'they', u'say', u'some', u'day', u'that', u'stop_symbol']"
26.0,48.0,tribe is going to,"[u'start_symbol', u'tribe', u'is', u'going', u'to', u'stop_symbol']"
27.0,48.0,inherit the earth,"[u'start_symbol', u'inherit', u'the', u'earth', u'stop_symbol']"
28.0,48.0,but we're going to,"[u'start_symbol', u'but', u'we', u""'re"", u'going', u'to', u'stop_symbol']"
29.0,48.0,make them wait a,"[u'start_symbol', u'make', u'them', u'wait', u'a', u'stop_symbol']"
30.0,48.0,few months.,"[u'start_symbol', u'few', u'months', u'.', u'stop_symbol']"
1.0,49.0,I was shacked with a,"[u'start_symbol', u'i', u'was', u'shacked', u'with', u'a', u'stop_symbol']"
2.0,49.0,24 year old girl from,"[u'start_symbol', u'24', u'year', u'old', u'girl', u'from', u'stop_symbol']"
3.0,49.0,New York City for,"[u'start_symbol', u'new', u'york', u'city', u'for', u'stop_symbol']"
4.0,49.0,two weeks---about,"[u'start_symbol', u'two', u'weeks', u'--', u'-about', u'stop_symbol']"
5.0,49.0,the time of the garbage,"[u'start_symbol', u'the', u'time', u'of', u'the', u'garbage', u'stop_symbol']"
6.0,49.0,"strike out there, and","[u'start_symbol', u'strike', u'out', u'there', u',', u'and', u'stop_symbol']"
7.0,49.0,one night my 34 year,"[u'start_symbol', u'one', u'night', u'my', u'34', u'year', u'stop_symbol']"
8.0,49.0,old woman arrived and,"[u'start_symbol', u'old', u'woman', u'arrived', u'and', u'stop_symbol']"
9.0,49.0,"she said, ""I want to see","[u'start_symbol', u'she', u'said', u',', u'``', u'i', u'want', u'to', u'see', u'stop_symbol']"
10.0,49.0,"my rival."" she did","[u'start_symbol', u'my', u'rival', u'.', u""''"", u'she', u'did', u'stop_symbol']"
11.0,49.0,"and then she said, ""o,","[u'start_symbol', u'and', u'then', u'she', u'said', u',', u'``', u'o', u',', u'stop_symbol']"
12.0,49.0,"you're a cute little thing!""","[u'start_symbol', u'you', u""'re"", u'a', u'cute', u'little', u'thing', u'!', u""''"", u'stop_symbol']"
13.0,49.0,next I knew there was a,"[u'start_symbol', u'next', u'i', u'knew', u'there', u'was', u'a', u'stop_symbol']"
14.0,49.0,screech of wildcats---,"[u'start_symbol', u'screech', u'of', u'wildcats', u'--', u'-', u'stop_symbol']"
15.0,49.0,such screaming and scratch-,"[u'start_symbol', u'such', u'screaming', u'and', u'scratch-', u'stop_symbol']"
16.0,49.0,"ing, wounded animal moans,","[u'start_symbol', u'ing', u',', u'wounded', u'animal', u'moans', u',', u'stop_symbol']"
17.0,49.0,blood and piss ...,"[u'start_symbol', u'blood', u'and', u'piss', u'...', u'stop_symbol']"
18.0,49.0,I was drunk and in my,"[u'start_symbol', u'i', u'was', u'drunk', u'and', u'in', u'my', u'stop_symbol']"
19.0,49.0,shorts. I tried to,"[u'start_symbol', u'shorts', u'.', u'i', u'tried', u'to', u'stop_symbol']"
20.0,49.0,"separate them and fell,","[u'start_symbol', u'separate', u'them', u'and', u'fell', u',', u'stop_symbol']"
21.0,49.0,wrenched my knee. then,"[u'start_symbol', u'wrenched', u'my', u'knee', u'.', u'then', u'stop_symbol']"
22.0,49.0,they were through the screen,"[u'start_symbol', u'they', u'were', u'through', u'the', u'screen', u'stop_symbol']"
23.0,49.0,door and down the walk,"[u'start_symbol', u'door', u'and', u'down', u'the', u'walk', u'stop_symbol']"
24.0,49.0,and out in the street.,"[u'start_symbol', u'and', u'out', u'in', u'the', u'street', u'.', u'stop_symbol']"
25.0,49.0,squadcars full of cops,"[u'start_symbol', u'squadcars', u'full', u'of', u'cops', u'stop_symbol']"
26.0,49.0,arrived. a police heli-,"[u'start_symbol', u'arrived', u'.', u'a', u'police', u'heli-', u'stop_symbol']"
27.0,49.0,copter circled overhead.,"[u'start_symbol', u'copter', u'circled', u'overhead', u'.', u'stop_symbol']"
28.0,49.0,I stood in the bathroom,"[u'start_symbol', u'i', u'stood', u'in', u'the', u'bathroom', u'stop_symbol']"
29.0,49.0,and grinned in the mirror.,"[u'start_symbol', u'and', u'grinned', u'in', u'the', u'mirror', u'.', u'stop_symbol']"
30.0,49.0,it's not often at the age,"[u'start_symbol', u'it', u""'s"", u'not', u'often', u'at', u'the', u'age', u'stop_symbol']"
31.0,49.0,of 55 that such splendid,"[u'start_symbol', u'of', u'55', u'that', u'such', u'splendid', u'stop_symbol']"
32.0,49.0,things occur.,"[u'start_symbol', u'things', u'occur', u'.', u'stop_symbol']"
33.0,49.0,better than the Watts,"[u'start_symbol', u'better', u'than', u'the', u'watts', u'stop_symbol']"
34.0,49.0,riots.,"[u'start_symbol', u'riots', u'.', u'stop_symbol']"
35.0,49.0,the 34 year old,"[u'start_symbol', u'the', u'34', u'year', u'old', u'stop_symbol']"
36.0,49.0,came back in. she had,"[u'start_symbol', u'came', u'back', u'in', u'.', u'she', u'had', u'stop_symbol']"
37.0,49.0,pissed all over her-,"[u'start_symbol', u'pissed', u'all', u'over', u'her-', u'stop_symbol']"
38.0,49.0,self and her clothing,"[u'start_symbol', u'self', u'and', u'her', u'clothing', u'stop_symbol']"
39.0,49.0,was torn and she was,"[u'start_symbol', u'was', u'torn', u'and', u'she', u'was', u'stop_symbol']"
40.0,49.0,followed by 2 cops who,"[u'start_symbol', u'followed', u'by', u'2', u'cops', u'who', u'stop_symbol']"
41.0,49.0,wanted to know why.,"[u'start_symbol', u'wanted', u'to', u'know', u'why', u'.', u'stop_symbol']"
42.0,49.0,pulling up my shorts,"[u'start_symbol', u'pulling', u'up', u'my', u'shorts', u'stop_symbol']"
43.0,49.0,I tried to explain.,"[u'start_symbol', u'i', u'tried', u'to', u'explain', u'.', u'stop_symbol']"
1.0,50.0,listening to Bruckner on the radio,"[u'start_symbol', u'listening', u'to', u'bruckner', u'on', u'the', u'radio', u'stop_symbol']"
2.0,50.0,wondering why I'm not half mad,"[u'start_symbol', u'wondering', u'why', u'i', u""'m"", u'not', u'half', u'mad', u'stop_symbol']"
3.0,50.0,over the latest breakup with my,"[u'start_symbol', u'over', u'the', u'latest', u'breakup', u'with', u'my', u'stop_symbol']"
4.0,50.0,latest girlfriend,"[u'start_symbol', u'latest', u'girlfriend', u'stop_symbol']"
5.0,50.0,wondering why I'm not driving the streets,"[u'start_symbol', u'wondering', u'why', u'i', u""'m"", u'not', u'driving', u'the', u'streets', u'stop_symbol']"
6.0,50.0,drunk,"[u'start_symbol', u'drunk', u'stop_symbol']"
7.0,50.0,wondering why I'm not in the bedroom,"[u'start_symbol', u'wondering', u'why', u'i', u""'m"", u'not', u'in', u'the', u'bedroom', u'stop_symbol']"
8.0,50.0,in the dark,"[u'start_symbol', u'in', u'the', u'dark', u'stop_symbol']"
9.0,50.0,in the grievous dark,"[u'start_symbol', u'in', u'the', u'grievous', u'dark', u'stop_symbol']"
10.0,50.0,pondering,"[u'start_symbol', u'pondering', u'stop_symbol']"
11.0,50.0,ripped by half-thoughts.,"[u'start_symbol', u'ripped', u'by', u'half-thoughts', u'.', u'stop_symbol']"
12.0,50.0,I suppose,"[u'start_symbol', u'i', u'suppose', u'stop_symbol']"
13.0,50.0,that at last,"[u'start_symbol', u'that', u'at', u'last', u'stop_symbol']"
14.0,50.0,like the average man:,"[u'start_symbol', u'like', u'the', u'average', u'man', u':', u'stop_symbol']"
15.0,50.0,I've known too many women,"[u'start_symbol', u'i', u""'ve"", u'known', u'too', u'many', u'women', u'stop_symbol']"
16.0,50.0,"and instead of thinking,","[u'start_symbol', u'and', u'instead', u'of', u'thinking', u',', u'stop_symbol']"
17.0,50.0,I wonder who's fucking her now?,"[u'start_symbol', u'i', u'wonder', u'who', u""'s"", u'fucking', u'her', u'now', u'?', u'stop_symbol']"
18.0,50.0,I think,"[u'start_symbol', u'i', u'think', u'stop_symbol']"
19.0,50.0,she's giving some other poor son of a bitch,"[u'start_symbol', u'she', u""'s"", u'giving', u'some', u'other', u'poor', u'son', u'of', u'a', u'bitch', u'stop_symbol']"
20.0,50.0,much trouble right now.,"[u'start_symbol', u'much', u'trouble', u'right', u'now', u'.', u'stop_symbol']"
21.0,50.0,listening to Bruckner on the radio,"[u'start_symbol', u'listening', u'to', u'bruckner', u'on', u'the', u'radio', u'stop_symbol']"
22.0,50.0,seems so peaceful.,"[u'start_symbol', u'seems', u'so', u'peaceful', u'.', u'stop_symbol']"
23.0,50.0,too many women have gone through.,"[u'start_symbol', u'too', u'many', u'women', u'have', u'gone', u'through', u'.', u'stop_symbol']"
24.0,50.0,I am at last alone,"[u'start_symbol', u'i', u'am', u'at', u'last', u'alone', u'stop_symbol']"
25.0,50.0,without being alone.,"[u'start_symbol', u'without', u'being', u'alone', u'.', u'stop_symbol']"
26.0,50.0,I pick up a Grumbacher paint brush,"[u'start_symbol', u'i', u'pick', u'up', u'a', u'grumbacher', u'paint', u'brush', u'stop_symbol']"
27.0,50.0,and clean my fingernails with the hard sharp end.,"[u'start_symbol', u'and', u'clean', u'my', u'fingernails', u'with', u'the', u'hard', u'sharp', u'end', u'.', u'stop_symbol']"
28.0,50.0,I notice a wall socket.,"[u'start_symbol', u'i', u'notice', u'a', u'wall', u'socket', u'.', u'stop_symbol']"
29.0,50.0,"look, I've won.","[u'start_symbol', u'look', u',', u'i', u""'ve"", u'won', u'.', u'stop_symbol']"
1.0,51.0,the old folks play a game,"[u'start_symbol', u'the', u'old', u'folks', u'play', u'a', u'game', u'stop_symbol']"
2.0,51.0,in the park overlooking the sea,"[u'start_symbol', u'in', u'the', u'park', u'overlooking', u'the', u'sea', u'stop_symbol']"
3.0,51.0,shoving markers across cement,"[u'start_symbol', u'shoving', u'markers', u'across', u'cement', u'stop_symbol']"
4.0,51.0,with wooden sticks.,"[u'start_symbol', u'with', u'wooden', u'sticks', u'.', u'stop_symbol']"
5.0,51.0,"four play, two on each side","[u'start_symbol', u'four', u'play', u',', u'two', u'on', u'each', u'side', u'stop_symbol']"
6.0,51.0,and 18 or 20 others sit in,"[u'start_symbol', u'and', u'18', u'or', u'20', u'others', u'sit', u'in', u'stop_symbol']"
7.0,51.0,the sun and watch,"[u'start_symbol', u'the', u'sun', u'and', u'watch', u'stop_symbol']"
8.0,51.0,I notice this as I move,"[u'start_symbol', u'i', u'notice', u'this', u'as', u'i', u'move', u'stop_symbol']"
9.0,51.0,toward the public facility,"[u'start_symbol', u'toward', u'the', u'public', u'facility', u'stop_symbol']"
10.0,51.0,as my car is being repaired.,"[u'start_symbol', u'as', u'my', u'car', u'is', u'being', u'repaired', u'.', u'stop_symbol']"
11.0,51.0,an old cannon sits in the park,"[u'start_symbol', u'an', u'old', u'cannon', u'sits', u'in', u'the', u'park', u'stop_symbol']"
12.0,51.0,rusted and useless.,"[u'start_symbol', u'rusted', u'and', u'useless', u'.', u'stop_symbol']"
13.0,51.0,six or seven sailboats ride,"[u'start_symbol', u'six', u'or', u'seven', u'sailboats', u'ride', u'stop_symbol']"
14.0,51.0,the sea below.,"[u'start_symbol', u'the', u'sea', u'below', u'.', u'stop_symbol']"
15.0,51.0,I finish my duty,"[u'start_symbol', u'i', u'finish', u'my', u'duty', u'stop_symbol']"
16.0,51.0,come out,"[u'start_symbol', u'come', u'out', u'stop_symbol']"
17.0,51.0,and they are still playing.,"[u'start_symbol', u'and', u'they', u'are', u'still', u'playing', u'.', u'stop_symbol']"
18.0,51.0,one of the women is heavily rouged,"[u'start_symbol', u'one', u'of', u'the', u'women', u'is', u'heavily', u'rouged', u'stop_symbol']"
19.0,51.0,wearing false eyelashes and smoking,"[u'start_symbol', u'wearing', u'false', u'eyelashes', u'and', u'smoking', u'stop_symbol']"
20.0,51.0,a cigarette.,"[u'start_symbol', u'a', u'cigarette', u'.', u'stop_symbol']"
21.0,51.0,the men are very thin,"[u'start_symbol', u'the', u'men', u'are', u'very', u'thin', u'stop_symbol']"
22.0,51.0,very pale,"[u'start_symbol', u'very', u'pale', u'stop_symbol']"
23.0,51.0,wear wristwatches that hurt,"[u'start_symbol', u'wear', u'wristwatches', u'that', u'hurt', u'stop_symbol']"
24.0,51.0,their wrists.,"[u'start_symbol', u'their', u'wrists', u'.', u'stop_symbol']"
25.0,51.0,the other woman is very fat,"[u'start_symbol', u'the', u'other', u'woman', u'is', u'very', u'fat', u'stop_symbol']"
26.0,51.0,and giggles,"[u'start_symbol', u'and', u'giggles', u'stop_symbol']"
27.0,51.0,each time a score is made,"[u'start_symbol', u'each', u'time', u'a', u'score', u'is', u'made', u'stop_symbol']"
28.0,51.0,some of them are my age.,"[u'start_symbol', u'some', u'of', u'them', u'are', u'my', u'age', u'.', u'stop_symbol']"
29.0,51.0,they disgust me,"[u'start_symbol', u'they', u'disgust', u'me', u'stop_symbol']"
30.0,51.0,the way they wait for death,"[u'start_symbol', u'the', u'way', u'they', u'wait', u'for', u'death', u'stop_symbol']"
31.0,51.0,with as much passion,"[u'start_symbol', u'with', u'as', u'much', u'passion', u'stop_symbol']"
32.0,51.0,as a traffic signal.,"[u'start_symbol', u'as', u'a', u'traffic', u'signal', u'.', u'stop_symbol']"
33.0,51.0,these are the people who believe advertisements,"[u'start_symbol', u'these', u'are', u'the', u'people', u'who', u'believe', u'advertisements', u'stop_symbol']"
34.0,51.0,these are the people who buy dentures on credit,"[u'start_symbol', u'these', u'are', u'the', u'people', u'who', u'buy', u'dentures', u'on', u'credit', u'stop_symbol']"
35.0,51.0,these are the people who celebrate holidays,"[u'start_symbol', u'these', u'are', u'the', u'people', u'who', u'celebrate', u'holidays', u'stop_symbol']"
36.0,51.0,these are the people who have grandchildren,"[u'start_symbol', u'these', u'are', u'the', u'people', u'who', u'have', u'grandchildren', u'stop_symbol']"
37.0,51.0,these are the people who vote,"[u'start_symbol', u'these', u'are', u'the', u'people', u'who', u'vote', u'stop_symbol']"
